titulo,categoria,descripcion,precio,imagen_url
Sábanas KING,Sábanas,6 Piezas,54000,
Sábanas Sheet Ser King,Sábanas,4 Piezas combinada,43000,
Sábanas QUEEN,Sábanas,4 Piezas,40000,
Juego de sábanas 2 1/2 Pl Brodery,Sábanas,Juego de sábanas Clover Home 100% cotton touch,39900,
Set x 4 sábanas ajustables Queen,Sábanas,Pack de sabanas ajustables queen size se venden las 4,55000,
Juego de sábanas 6 piezas 2 1/2 PL,Sábanas,Juego de sábanas 6 piezas 2 1/2 ideal para renovar tu cama,39900,
Juego de sábanas 2 x1 2 plazas y media,Sábanas,Juegos de sabanas dobles Un juego completo lisa y estampada,55000,
Sábanas infantil,Sábanas,1 1/2PL,43000,
Sábanas 1 1/2 PL,Sábanas,,15000,
Sábanas Económicas 2 1/2 PL,Sábanas,,17000,
Juegos de sábanas dobles Casa Premium 1 1/2 PL,Sábanas,medida 1 1/2 2 sabanas 173cm x 233cm 2 sabanas ajustables,45000,
Sábanas twin beige y celeste 600H,Sábanas,Tejido jacquard Diseños intrincados creados en el proceso,35000,
Mantel,Cocina,Anti-mancha,20000,
Mantel anti-Manchas,Cocina,,10000,
Mantel Eco-Cuero Estampado,Cocina,2.50 Cm,20000,
Mantel eco-cuero,Cocina,Blanco verde bordo 2.50m,20000,
Reparadores de algodón con flecos,Cocina,Repasadores de algodon flecos,1000,
Repasadores bordados,Cocina,Repasadores de colores bordados algodon,3500,
Repasadores de toalla ( Ondas y corazones),Cocina,medidas 38 x 64,2000,
Repasadores toalla con ondas y corazones,Cocina,Medidas 40 cm x 60 cm,2000,
Termo con bombilla,Cocina,1L (Rosa),35000,
Cortina de Baño,Baño,,15000,
Toallas de mano,Baño,Toalla 30X50 100% Algodon con guarda,2000,
Set cortinas de baño + protector+ ganchos,Baño,,25000,
Turbantes Gris rosa beige marron,Baño,Turbante cofia de baño comodo y ajustable Tiene una banda,5000,
Alfombra baño Shaggy,Baño,Alfombra shaggy con antideslizante Medida 40x60,7000,
Alfombra Memory,Baño,Medidas 38x58 cm,7000,
Toallon Blanco,Toalleria,,14000,
Toalla Terrenal Sports,Toalleria,Secado Rápido- 35x48,5000,
Juego de toalla y toallón CLOVER HOME,Toalleria,100% algodón Toalla 50 x 80 cm Toallón 140 x 70 cm,13000,
Set 3 toallones S/Rápido borde blanco,Toalleria,Es un set que incluye 3 piezas 1 Toallon grande de 90x140,20000,
Set x 3 toallas secado rápido,Toalleria,Set x3 toallas secado rápido lisas Medidas 70x140CM,15000,
Toallón Lucky,Toalleria,600 Hilos 100% Algodón,10000,
Toallón secado rápido,Toalleria,Rallados,15000,
Toalla de rostro,Toalleria,80 x 40 cm,5000,
Batas adultos (único talle),Batas,Toalla secado rapido SIN CAPUCHA TALLE UNICO GRANDE,39900,
Cortinas de cocina,Cortinas,Rosa con bordado- Cant.2,25000,
Cortinas Tropical,Cortinas,Celeste- rojo-naranja-coral- verde,20000,
Frazadas con Corderito,Mantas y Acolchados,medida 210x180,29000,
Frazadas Flannel sin corderito,Mantas y Acolchados,,20000,
Frazada flannel s/corderito,Mantas y Acolchados,Medidas 200 x 230 CM Ultra suaves,15000,
Frazadas con corderito Corazón 2 1/2 PL,Mantas y Acolchados,Frazadas de plush con corderito 3D corazón ! 2 1/2 plaza,35000,
Alcolchados con corderito a tono Twin,Mantas y Acolchados,CalidadPremium- Presentacion Viene con un packaging,37000,
Alcolchados con corderito 2 1/2 plazas,Mantas y Acolchados,CalidadPremium Presentacion Viene con un packaging,49000,
Frazadas CAMPOMAYO 2 1/2 P,Mantas y Acolchados,medida 220x240cm super suave y calentita micro corderito,39000,
Frazadas c/ corderito piel de tortuga 2plazas,Mantas y Acolchados,medida 210x180,29900,
Frazada con corderito cuadrille,Mantas y Acolchados,Manta con corderito cuadrille plush con corderito,27000,
Frazada con corderito tramada 2 PL,Mantas y Acolchados,Frazada gruesas de plush con corderito,35000,
Frazada luminosa 1 1/2 Plaza,Mantas y Acolchados,Manta de plush que brilla en la oscuridad medida 200x150,15000,
Frazadas campomayo 1 1/2 PL,Mantas y Acolchados,super suave y abrigado Presentacion con lazo medida 150x220,25000,
Frazada Flannel súper suave,Mantas y Acolchados,Medidas 200x220cm,15000,
Cubrecamas estampados 1 1/2 PL,Cubrecamas,Económicas,24000,
Cubrecama Elevent 2 1/2 PL,Cubrecamas,Gris oscuro,25000,
Cover liso bordado reversible 2 1/2 plazas,Cubrecamas,Calidad Premium Terminación Cotton Touch,30000,
Cover liso bordado reversible 1 1/2 plaza,Cubrecamas,Calidad-Premium Terminación Cotton Touch,25000,
Almohada blanca de algodón,Almohadas y Almohadones,,25000,
Almohada inteligente (recta),Almohadas y Almohadones,,20000,
Almohada inteligente c/ funda,Almohadas y Almohadones,Largo 60 cm Alto 35 cm Espesor 14 cm Funda con cierre,20000,
Almohada cervical inteligente jakcard premium,Almohadas y Almohadones,Largo 60 cm Alto 35 cm Espesor 14 cm Funda con cierre,20000,
alfombra de yute,Decoración,Alfombras yute puede estar en el interior o en el exterior,15000,
